title,company,city,country,job_type,date_published,month_posted,day_of_week,is_remote,salary,has_salary,company_rating,occupation,jobUrl,source,date_scraped
Product Owner / Business Analyst Agile (F/H),Atos,Nantes,France,Non spécifié,2026-01-26,2026-01,Monday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 50000, ""salaryMin"": 42000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 42\u202f000 \u20ac \u00e0 50\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers du management en entreprises technologiques"", ""Chefs/fes de produits informatiques""]",https://fr.indeed.com/viewjob?jk=3f5b0addd3fda428,Atos,2026-03-15
Ingénieur Data Analyst H/F,UEM,Metz,France,CDI,2025-01-29,2025-01,Wednesday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 51000, ""salaryMin"": 43000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 43\u202f000 \u20ac \u00e0 51\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.4,"[""M\u00e9tiers de la data et des bases de donn\u00e9es"", ""Analystes de donn\u00e9es"", ""M\u00e9tiers de l'informatique et des nouvelles technologies""]",https://fr.indeed.com/viewjob?jk=f9142e4b19061f21,UEM,2026-03-15
Business Analyst - monétique H/F,Inetum,Strasbourg,France,Temps plein,2025-08-25,2025-08,Monday,False,{},False,3.1,"[""M\u00e9tiers de la data et des bases de donn\u00e9es"", ""Analystes de donn\u00e9es"", ""M\u00e9tiers de l'informatique et des nouvelles technologies""]",https://fr.indeed.com/viewjob?jk=7c70e524da381d2c,Inetum,2026-03-15
Consultant Analyste fonctionnel confirmé / Business Analyst confirmé H/F,DLA CONSEIL,Paris,France,CDI,2026-01-19,2026-01,Monday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 70000, ""salaryMin"": 50000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 50\u202f000 \u20ac \u00e0 70\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,0.0,"[""M\u00e9tiers de la data et des bases de donn\u00e9es"", ""Analystes de donn\u00e9es"", ""M\u00e9tiers de l'informatique et des nouvelles technologies""]",https://fr.indeed.com/viewjob?jk=13620bc0b0278df2,Indeed,2026-03-15
Analyste développeur (H/F),Euro-Information,Strasbourg,France,CDI,2026-03-12,2026-03,Thursday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 45000, ""salaryMin"": 38000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 38\u202f000 \u20ac \u00e0 45\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers du d\u00e9veloppement logiciel"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers de l'architecture et du d\u00e9veloppement de logiciels""]",https://fr.indeed.com/viewjob?jk=6494002964df062b,Crédit Mutuel,2026-03-15
Analyste Consolidation Fonds propres prudentiels (H/F),BNP Paribas,Paris,France,CDI,2025-04-11,2025-04,Friday,False,{},False,3.8,"[""M\u00e9tiers de la finance et de la comptabilit\u00e9"", ""M\u00e9tiers du conseil financier, de l'analyse et de la gestion de placements"", ""M\u00e9tiers de l'analyse des risques financiers"", ""M\u00e9tiers de l'analyse financi\u00e8re""]",https://fr.indeed.com/viewjob?jk=77c1e8d9d0f6f9e6,BNP Paribas,2026-03-15
Analyste Cybersécurité VOC (Vulnerability Operation Center) (H/F),Euro-Information,Verlinghem,France,CDI,2024-12-02,2024-12,Monday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 65000, ""salaryMin"": 36000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 36\u202f000 \u20ac \u00e0 65\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers de la s\u00e9curit\u00e9 des syst\u00e8mes d'information"", ""M\u00e9tiers des infrastructures et de la s\u00e9curit\u00e9 informatique"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""Analystes et ing\u00e9nieurs/es en s\u00e9curit\u00e9 des syst\u00e8mes d'information""]",https://fr.indeed.com/viewjob?jk=4869166e2141e479,Crédit Mutuel,2026-03-15
Business Analyst Data (F/H),Atos,Nantes,France,Non spécifié,2026-03-02,2026-03,Monday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 50000, ""salaryMin"": 43000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 43\u202f000 \u20ac \u00e0 50\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers de la data et des bases de donn\u00e9es"", ""Analystes de donn\u00e9es"", ""M\u00e9tiers de l'informatique et des nouvelles technologies""]",https://fr.indeed.com/viewjob?jk=58cd023cc79bb6ee,Atos,2026-03-15
Analyste IT Finance & EDI (H/F),Boardriders,Saint-Jean-de-Luz,France,CDD,2026-02-13,2026-02,Friday,False,{},False,3.4,"[""M\u00e9tiers de la finance et de la comptabilit\u00e9"", ""M\u00e9tiers du conseil financier, de l'analyse et de la gestion de placements"", ""M\u00e9tiers de l'analyse financi\u00e8re""]",https://fr.indeed.com/viewjob?jk=8a35cb3775ada0e8,Boardriders,2026-03-15
Business Analyst - Services Financiers - Rouen,Sopra Steria,Rouen,France,Temps plein,2026-02-04,2026-02,Wednesday,False,{},False,3.4,"[""M\u00e9tiers de la data et des bases de donn\u00e9es"", ""Analystes de donn\u00e9es"", ""M\u00e9tiers de l'informatique et des nouvelles technologies""]",https://fr.indeed.com/viewjob?jk=d7a7eadf878950e3,Sopra Steria,2026-03-15
